date,ticker,grossProfit,grossLoss,fees
2020-06-29,ES,237.50,0,4.68
2020-06-29,ES,0,425.00,4.68
2020-06-30,ES,0,287.50,4.68
2020-06-30,ES,100.00,0,4.68
2020-06-30,ES,137.50,0,4.68
2020-07-02,ES,0,287.50,4.68
2020-07-02,ES,375.00,0,4.68
2020-07-02,ES,287.50,0,4.68
2020-07-06,ES,375.00,0,4.68
2020-07-07,ES,0,287.50,4.68
2020-07-08,ES,287.50,0,4.68
2020-07-08,ES,0,150.00,4.68
2020-07-08,ES,287.50,0,4.68
2020-07-09,ES,662.50,0,4.68
2020-07-16,ES,475.00,0,4.68
2020-07-17,ES,0,212.50,4.68
2020-07-20,ES,0,212.50,4.68
2020-07-21,ES,575.00,0,4.68
2020-07-22,ES,0,212.50,4.68
2020-07-23,ES,0,362.50,4.68
2020-07-27,ES,475.00,0,4.68
2020-07-28,ES,287.50,0,4.68
2020-08-04,ES,375.00,0,4.68
2020-08-10,ES,475.00,0,4.68
2020-08-11,ES,475.00,0,4.68
2020-08-12,ES,237.50,0,4.68
2020-08-13,ES,0,150.00,4.68
2020-08-14,ES,237.50,0,4.68
2020-08-19,ES,662.50,0,4.68
2020-08-24,ES,0,150.00,4.68
2020-08-25,ES,0,287.50,4.68
2020-08-27,ES,287.50,0,4.68
2020-08-27,ES,575.00,0,4.68
2020-08-28,ES,287.50,0,4.68
2020-08-31,ES,287.50,0,4.68
2020-08-31,ES,0,362.50,4.68
2020-09-03,ES,0,425.00,4.68
2020-09-08,ES,0,425.00,4.68
2020-09-08,ES,0,725.00,4.68
2020-09-09,ES,137.50,0,4.68
2020-09-11,ES,187.50,0,4.68
2020-09-14,ES,0,725.00,4.68
2020-09-15,ES,100.00,0,4.68
2020-09-21,ES,0,425.00,4.68
2020-09-22,ES,0,862.50,4.68
2020-09-28,ES,0,725.00,4.68
2020-09-29,ES,100.00,0,4.68
2020-09-30,ES,0,575.00,4.68
2020-09-30,ES,0,575.00,4.68
2020-10-01,ES,0,425.00,4.68
2020-10-02,ES,100.00,0,4.68
2020-10-06,ES,0,362.50,4.68
2020-10-09,ES,0,725.00,4.68
2020-10-09,ES,187.50,0,4.68
2020-10-12,ES,0,425.00,4.68
2020-10-19,ES,237.50,0,4.68
2020-10-20,ES,0,425.00,4.68
2020-10-21,ES,0,425.00,4.68
2020-10-28,ES,0,362.50,4.68
2020-10-29,ES,0,362.50,4.68
2020-11-02,ES,0,287.50,4.68
2020-11-03,ES,575.00,0,4.68
2020-11-04,ES,0,212.50,4.68
2020-11-05,ES,0,362.50,4.68
2020-11-06,ES,575.00,0,4.68
2020-11-06,ES,0,150.00,4.68
2020-11-10,ES,662.50,0,4.68
2020-11-13,ES,287.50,0,4.68
2020-11-16,ES,0,212.50,4.68
2020-11-17,ES,662.50,0,4.68
2020-11-19,ES,662.50,0,4.68
2020-11-20,ES,0,150.00,4.68
2020-11-20,ES,0,362.50,4.68
2020-11-30,ES,375.00,0,4.68
2020-11-30,ES,237.50,0,4.68
2020-11-30,ES,0,287.50,4.68
2020-11-30,ES,575.00,0,4.68
2020-12-01,ES,0,212.50,4.68
2020-12-02,ES,575.00,0,4.68
2020-12-02,ES,237.50,0,4.68
2020-12-03,ES,375.00,0,4.68
2020-12-03,ES,0,150.00,4.68
2020-12-04,ES,0,287.50,4.68
2020-12-07,ES,0,362.50,4.68
2020-12-08,ES,475.00,0,4.68
2020-12-09,ES,0,150.00,4.68
2020-12-09,ES,0,150.00,4.68
2020-12-10,ES,375.00,0,4.68
2020-12-14,ES,0,287.50,4.68
2020-12-17,ES,0,150.00,4.68
2020-12-21,ES,375.00,0,4.68
2020-12-22,ES,375.00,0,4.68
2020-12-23,ES,0,287.50,4.68
2020-12-24,ES,662.50,0,4.68
2020-12-24,ES,0,150.00,4.68
2020-12-30,ES,287.50,0,4.68
2020-12-31,ES,662.50,0,4.68
2021-01-08,ES,100.00,0,4.68
2021-01-13,ES,0,375.00,4.68
2021-01-15,ES,137.50,0,4.68
2021-01-15,ES,137.50,0,4.68
2021-01-19,ES,175.00,0,4.68
2021-01-19,ES,0,250.00,4.68
2021-02-01,ES,0,312.50,4.68
2021-02-02,ES,0,187.50,4.68
2021-02-03,ES,275.00,0,4.68
2021-02-04,ES,0,312.50,4.68
2021-02-04,ES,0,312.50,4.68
2021-02-05,ES,337.50,0,4.68
2021-02-08,ES,0,312.50,4.68
2021-02-09,ES,200.00,0,4.68
2021-02-10,ES,275.00,0,4.68
2021-02-11,ES,137.50,0,4.68
2021-02-12,ES,137.50,0,4.68
2021-02-12,ES,0,125.00,4.68
2021-02-17,ES,0,187.50,4.68
2021-02-17,ES,200.00,0,4.68
2021-02-18,ES,275.00,0,4.68
2021-02-22,ES,275.00,0,4.68
2021-02-22,ES,200.00,0,4.68
2021-02-23,ES,0,125.00,4.68
2021-02-24,ES,275.00,0,4.68
2021-02-24,ES,175.00,0,4.68
2021-02-26,ES,137.50,0,4.68
2021-03-01,ES,175.00,0,4.68
2021-03-02,ES,200.00,0,4.68
2021-03-08,ES,0,250.00,4.68
2021-03-09,ES,200.00,0,4.68
2021-03-11,ES,0,187.50,4.68
2021-03-12,ES,412.50,0,4.68
2021-03-15,ES,412.50,0,4.68
2021-03-22,ES,412.50,0,4.68
2021-03-24,ES,0,187.50,4.68
2021-03-24,ES,200.00,0,4.68
2021-03-26,ES,275.00,0,4.68
2021-03-30,ES,475.00,0,4.68
2021-04-01,ES,0,125.00,4.68
2021-04-01,ES,200.00,0,4.68
2021-04-01,ES,0,250.00,4.68
2021-04-01,ES,0,125.00,4.68
2021-04-01,ES,175.00,0,4.68
2021-04-07,ES,0,312.50,4.68
2021-04-08,ES,200.00,0,4.68
2021-04-12,ES,475.00,0,4.68
2021-04-12,ES,175.00,0,4.68
2021-04-14,ES,275.00,0,4.68
2021-04-14,ES,0,312.50,4.68
2021-04-15,ES,0,187.50,4.68
2021-04-16,ES,412.50,0,4.68
2021-04-19,ES,0,125.00,4.68
2021-04-20,ES,337.50,0,4.68
2021-04-21,ES,475.00,0,4.68
2021-04-21,ES,0,312.50,4.68
2021-04-22,ES,200.00,0,4.68
2021-04-23,ES,0,312.50,4.68
2021-04-26,ES,175.00,0,4.68
2021-04-26,ES,337.50,0,4.68
2021-04-27,ES,200.00,0,4.68
2021-04-27,ES,475.00,0,4.68
2021-04-30,ES,275.00,0,4.68
2021-04-30,ES,0,250.00,4.68
2021-05-05,ES,0,312.50,4.68
2021-05-06,ES,0,312.50,4.68
2021-05-24,ES,175.00,0,4.68
2021-05-25,ES,175.00,0,4.68
2021-05-26,ES,0,375.00,4.68
2021-06-01,ES,0,187.50,4.68
2021-06-03,ES,175.00,0,4.68
2021-06-04,ES,0,187.50,4.68
2021-06-09,ES,337.50,0,4.68
2021-06-14,ES,137.50,0,4.68
2021-06-15,ES,200.00,0,4.68
2021-06-15,ES,0,125.00,4.68
2021-06-17,ES,275.00,0,4.68
2021-06-17,ES,412.50,0,4.68
2021-06-22,ES,0,187.50,4.68
2021-06-28,ES,137.50,0,4.68
2021-06-29,ES,275.00,0,4.68
2021-07-01,ES,275.00,0,4.68
2021-07-01,ES,200.00,0,4.68
2021-07-01,ES,200.00,0,4.68
2021-07-01,ES,275.00,0,4.68
2021-07-02,ES,200.00,0,4.68
2021-07-02,ES,200.00,0,4.68
2021-07-06,ES,0,187.50,4.68
2021-07-07,ES,475.00,0,4.68
2021-07-08,ES,175.00,0,4.68
2021-07-09,ES,200.00,0,4.68
2021-07-12,ES,275.00,0,4.68
2021-07-13,ES,200.00,0,4.68
2021-07-15,ES,200.00,0,4.68
2021-07-16,ES,0,187.50,4.68
2021-07-16,ES,175.00,0,4.68
2021-07-16,ES,0,312.50,4.68
2021-07-19,ES,0,187.50,4.68
2021-07-20,ES,200.00,0,4.68
2021-07-21,ES,475.00,0,4.68
2021-07-22,ES,275.00,0,4.68
2021-07-22,ES,137.50,0,4.68
2021-07-23,ES,200.00,0,4.68
2021-07-26,ES,0,187.50,4.68
2021-07-27,ES,475.00,0,4.68
2021-07-27,ES,200.00,0,4.68
2021-07-28,ES,0,187.50,4.68
2021-07-29,ES,337.50,0,4.68
2021-07-30,ES,200.00,0,4.68
2021-08-09,ES,0,312.50,4.68
2021-08-11,ES,0,187.50,4.68
2021-08-13,ES,200.00,0,4.68
2021-08-17,ES,0,187.50,4.68
2021-08-18,ES,275.00,0,4.68
2021-08-19,ES,200.00,0,4.68
2021-08-19,ES,275.00,0,4.68
2021-08-23,ES,0,250.00,4.68
2021-08-24,ES,337.50,0,4.68
2021-08-25,ES,412.50,0,4.68
2021-08-26,ES,0,312.50,4.68
2021-08-30,ES,275.00,0,4.68
2021-08-30,ES,200.00,0,4.68
2021-08-31,ES,200.00,0,4.68
2021-08-31,ES,0,312.50,4.68
2021-08-31,ES,0,187.50,4.68
2021-09-01,ES,0,625.00,4.68
2021-09-02,ES,62.50,0,4.68
2021-09-13,ES,100.00,0,4.68
2021-09-14,ES,0,625.00,4.68
2021-09-16,ES,0,625.00,4.68
2021-10-01,ES,200.00,0,4.68
2021-10-01,ES,0,187.50,4.68
2021-10-01,ES,475.00,0,4.68
2021-10-01,ES,275.00,0,4.68
2021-10-04,ES,412.50,0,4.68
2021-10-04,ES,0,187.50,4.68
2021-10-06,ES,0,312.50,4.68
2021-10-11,ES,0,187.50,4.68
2021-10-11,ES,0,250.00,4.68
2021-10-14,ES,475.00,0,4.68
2021-10-14,ES,0,187.50,4.68
2021-10-15,ES,275.00,0,4.68
2021-10-25,ES,0,125.00,4.68
2021-10-26,ES,0,125.00,4.68
2021-10-28,ES,275.00,0,4.68
2021-10-29,ES,475.00,0,4.68
2021-11-02,ES,62.50,0,4.68
2021-11-03,ES,100.00,0,4.68
2021-11-17,ES,0,750.00,4.68
2021-11-18,ES,0,625.00,4.68
2021-11-23,ES,0,625.00,4.68
2021-11-24,ES,0,500.00,4.68
2021-12-02,ES,0,312.50,4.68
2021-12-03,ES,337.50,0,4.68
2021-12-03,ES,337.50,0,4.68
2021-12-07,ES,0,187.50,4.68
2021-12-07,ES,0,250.00,4.68
2021-12-13,ES,0,312.50,4.68
2021-12-14,ES,175.00,0,4.68
2021-12-15,ES,200.00,0,4.68
2021-12-17,ES,275.00,0,4.68
2021-12-17,ES,275.00,0,4.68
2021-12-21,ES,0,187.50,4.68
2021-12-23,ES,0,187.50,4.68
2021-12-27,ES,475.00,0,4.68
2021-12-28,ES,200.00,0,4.68
2021-12-30,ES,137.50,0,4.68
2021-12-31,ES,412.50,0,4.68
2022-01-18,ES,200.00,0,4.68
2022-01-20,ES,125.00,0,4.68
2022-01-20,ES,125.00,0,4.68
2022-01-21,ES,0,525.00,4.68
2022-01-25,ES,125.00,0,4.68
2022-01-28,ES,125.00,0,4.68
2022-01-28,ES,0,400.00,4.68
2022-02-01,ES,0,650.00,4.68
2022-02-04,ES,262.50,0,4.68
2022-02-04,ES,0,525.00,4.68
2022-02-04,ES,0,525.00,4.68
2022-02-28,ES,200.00,0,4.68
2022-02-28,ES,262.50,0,4.68
2022-03-08,ES,0,525.00,4.68
2022-03-09,ES,0,400.00,4.68
2022-03-14,ES,0,325.00,4.68
2022-03-29,ES,0,262.50,4.68
2022-04-01,ES,0,525.00,4.68
2022-04-05,ES,0,650.00,4.68
2022-04-06,ES,0,400.00,4.68
2022-04-07,ES,0,787.50,4.68
2022-04-08,ES,200.00,0,4.68
2022-04-14,ES,0,650.00,4.68
2022-04-25,ES,0,787.50,4.68
2022-04-25,ES,0,650.00,4.68
2022-04-28,ES,0,650.00,4.68
2022-04-29,ES,125.00,0,4.68
2022-05-11,ES,262.50,0,4.68
2022-05-13,ES,200.00,0,4.68
2022-05-17,ES,0,400.00,4.68
2022-05-19,ES,0,525.00,4.68
2022-05-27,ES,0,525.00,4.68
2022-05-27,ES,0,400.00,4.68
2022-05-31,ES,0,400.00,4.68
2022-05-31,ES,262.50,0,4.68
2022-06-01,ES,262.50,0,4.68
2022-06-02,ES,0,787.50,4.68
2022-06-03,ES,0,787.50,4.68
2022-06-06,ES,0,525.00,4.68
2022-07-01,ES,0,262.50,4.68
2022-07-01,ES,787.50,0,4.68
2022-07-01,ES,787.50,0,4.68
2022-07-05,ES,525.00,0,4.68
2022-07-06,ES,0,200.00,4.68
2022-07-08,ES,387.50,0,4.68
2022-07-08,ES,0,325.00,4.68
2022-07-13,ES,525.00,0,4.68
2022-07-13,ES,0,262.50,4.68
2022-07-14,ES,0,262.50,4.68
2022-07-15,ES,525.00,0,4.68
2022-07-18,ES,650.00,0,4.68
2022-07-19,ES,525.00,0,4.68
2022-07-20,ES,0,200.00,4.68
2022-07-22,ES,0,200.00,4.68
2022-07-22,ES,0,125.00,4.68
2022-07-22,ES,0,125.00,4.68
2022-07-25,ES,0,200.00,4.68
2022-07-28,ES,387.50,0,4.68
2022-08-08,ES,125.00,0,4.68
2022-08-09,ES,0,525.00,4.68
2022-08-10,ES,0,650.00,4.68
2022-08-12,ES,0,525.00,4.68
2022-08-31,ES,0,525.00,4.68
2022-09-01,ES,0,525.00,4.68
2022-09-01,ES,0,400.00,4.68
2022-09-02,ES,0,650.00,4.68
2022-09-02,ES,0,787.50,4.68
2022-09-08,ES,0,650.00,4.68
2022-09-20,ES,0,650.00,4.68
2022-09-21,ES,0,525.00,4.68
2022-10-10,ES,0,650.00,4.68
2022-10-11,ES,0,262.50,4.68
2022-10-12,ES,0,325.00,4.68
2022-10-13,ES,0,400.00,4.68
2022-10-14,ES,0,262.50,4.68
2022-10-18,ES,0,650.00,4.68
2022-10-19,ES,325.00,0,4.68
2022-10-31,ES,0,400.00,4.68
2022-10-31,ES,0,525.00,4.68
2022-11-01,ES,0,262.50,4.68
2022-11-01,ES,0,125.00,4.68
2022-11-01,ES,387.50,0,4.68
2022-11-03,ES,387.50,0,4.68
2022-11-04,ES,262.50,0,4.68
2022-11-07,ES,0,200.00,4.68
2022-11-08,ES,912.50,0,4.68
2022-11-09,ES,650.00,0,4.68
2022-11-09,ES,787.50,0,4.68
2022-11-10,ES,262.50,0,4.68
2022-11-14,ES,262.50,0,4.68
2022-11-14,ES,325.00,0,4.68
2022-11-15,ES,912.50,0,4.68
2022-11-15,ES,650.00,0,4.68
2022-11-16,ES,0,325.00,4.68
2022-11-18,ES,262.50,0,4.68
2022-11-21,ES,787.50,0,4.68
2022-11-21,ES,787.50,0,4.68
2022-11-23,ES,650.00,0,4.68
2022-11-25,ES,0,262.50,4.68
2022-11-28,ES,325.00,0,4.68
2022-11-29,ES,0,200.00,4.68
2022-12-02,ES,125.00,0,4.68
2022-12-02,ES,0,525.00,4.68
2022-12-07,ES,0,650.00,4.68
2022-12-21,ES,0,787.50,4.68
2022-12-23,ES,0,525.00,4.68
2023-01-11,ES,650.00,0,4.68
2023-01-11,ES,562.50,0,4.68
2023-01-12,ES,237.50,0,4.68
2023-01-13,ES,375.00,0,4.68
2023-01-17,ES,0,225.00,4.68
2023-01-18,ES,375.00,0,4.68
2023-01-18,ES,0,175.00,4.68
2023-01-19,ES,275.00,0,4.68
2023-01-20,ES,275.00,0,4.68
2023-01-20,ES,650.00,0,4.68
2023-01-24,ES,275.00,0,4.68
2023-01-27,ES,0,175.00,4.68
2023-01-30,ES,275.00,0,4.68
2023-01-31,ES,0,225.00,4.68
2023-02-01,ES,87.50,0,4.68
2023-02-02,ES,0,450.00,4.68
2023-02-03,ES,187.50,0,4.68
2023-02-03,ES,0,275.00,4.68
2023-02-03,ES,137.50,0,4.68
2023-02-08,ES,0,275.00,4.68
2023-02-15,ES,87.50,0,4.68
2023-02-21,ES,187.50,0,4.68
2023-02-24,ES,187.50,0,4.68
2023-02-27,ES,137.50,0,4.68
2023-02-27,ES,0,450.00,4.68
2023-02-28,ES,237.50,0,4.68
2023-02-28,ES,0,337.50,4.68
2023-03-01,ES,187.50,0,4.68
2023-03-02,ES,87.50,0,4.68
2023-03-06,ES,187.50,0,4.68
2023-03-10,ES,0,337.50,4.68
2023-03-14,ES,0,337.50,4.68
2023-03-20,ES,0,562.50,4.68
2023-03-21,ES,0,450.00,4.68
2023-03-24,ES,0,337.50,4.68
2023-03-27,ES,0,562.50,4.68
2023-03-28,ES,87.50,0,4.68
2023-04-03,ES,275.00,0,4.68
2023-04-04,ES,462.50,0,4.68
2023-04-05,ES,0,275.00,4.68
2023-04-06,ES,0,275.00,4.68
2023-04-11,ES,0,112.50,4.68
2023-04-13,ES,375.00,0,4.68
2023-04-14,ES,0,112.50,4.68
2023-04-14,ES,375.00,0,4.68
2023-04-17,ES,187.50,0,4.68
2023-04-19,ES,0,225.00,4.68
2023-04-20,ES,275.00,0,4.68
2023-04-21,ES,0,225.00,4.68
2023-04-25,ES,0,112.50,4.68
2023-04-27,ES,650.00,0,4.68
2023-05-09,ES,187.50,0,4.68
2023-05-10,ES,0,225.00,4.68
2023-05-17,ES,137.50,0,4.68
2023-05-25,ES,0,450.00,4.68
2023-05-30,ES,0,337.50,4.68
2023-05-31,ES,0,450.00,4.68
2023-05-31,ES,87.50,0,4.68
2023-06-01,ES,275.00,0,4.68
2023-06-01,ES,275.00,0,4.68
2023-06-01,ES,237.50,0,4.68
2023-06-01,ES,462.50,0,4.68
2023-06-02,ES,375.00,0,4.68
2023-06-02,ES,375.00,0,4.68
2023-06-06,ES,462.50,0,4.68
2023-06-13,ES,275.00,0,4.68
2023-06-13,ES,237.50,0,4.68
2023-06-14,ES,650.00,0,4.68
2023-06-14,ES,562.50,0,4.68
2023-06-16,ES,562.50,0,4.68
2023-06-20,ES,0,225.00,4.68
2023-06-20,ES,0,175.00,4.68
2023-06-20,ES,0,175.00,4.68
2023-06-21,ES,187.50,0,4.68
2023-06-22,ES,462.50,0,4.68
2023-06-23,ES,187.50,0,4.68
2023-07-03,ES,562.50,0,4.68
2023-07-03,ES,0,225.00,4.68
2023-07-10,ES,462.50,0,4.68
2023-07-11,ES,650.00,0,4.68
2023-07-13,ES,375.00,0,4.68
2023-07-13,ES,237.50,0,4.68
2023-07-14,ES,237.50,0,4.68
2023-07-17,ES,0,175.00,4.68
2023-07-18,ES,275.00,0,4.68
2023-07-19,ES,462.50,0,4.68
2023-07-20,ES,375.00,0,4.68
2023-07-21,ES,0,225.00,4.68
2023-07-25,ES,0,175.00,4.68
2023-07-25,ES,650.00,0,4.68
2023-07-26,ES,0,225.00,4.68
2023-07-28,ES,187.50,0,4.68
2023-07-31,ES,0,175.00,4.68
2023-07-31,ES,0,175.00,4.68
2023-07-31,ES,275.00,0,4.68
2023-08-08,ES,0,675.00,4.68
2023-08-10,ES,187.50,0,4.68
2023-08-23,ES,0,450.00,4.68
2023-08-24,ES,87.50,0,4.68
2023-08-25,ES,0,562.50,4.68
2023-09-01,ES,87.50,0,4.68
2023-09-08,ES,137.50,0,4.68
2023-09-08,ES,0,675.00,4.68
2023-09-11,ES,0,450.00,4.68
2023-09-12,ES,0,450.00,4.68
2023-09-14,ES,0,337.50,4.68
2023-09-18,ES,0,562.50,4.68
2023-09-20,ES,187.50,0,4.68
2023-09-20,ES,87.50,0,4.68
2023-09-21,ES,0,450.00,4.68
2023-09-25,ES,137.50,0,4.68
2023-09-27,ES,0,337.50,4.68
2023-10-02,ES,0,450.00,4.68
2023-10-04,ES,137.50,0,4.68
2023-10-04,ES,0,450.00,4.68
2023-10-05,ES,0,337.50,4.68
2023-10-31,ES,87.50,0,4.68
2023-11-01,ES,0,175.00,4.68
2023-11-01,ES,275.00,0,4.68
2023-11-02,ES,375.00,0,4.68
2023-11-03,ES,0,112.50,4.68
2023-11-03,ES,187.50,0,4.68
2023-11-06,ES,462.50,0,4.68
2023-11-06,ES,650.00,0,4.68
2023-11-06,ES,0,175.00,4.68
2023-11-07,ES,237.50,0,4.68
2023-11-08,ES,650.00,0,4.68
2023-11-09,ES,0,112.50,4.68
2023-11-13,ES,0,225.00,4.68
2023-11-14,ES,187.50,0,4.68
2023-11-15,ES,237.50,0,4.68
2023-11-17,ES,275.00,0,4.68
2023-11-20,ES,562.50,0,4.68
2023-11-20,ES,562.50,0,4.68
2023-11-22,ES,375.00,0,4.68
2023-11-27,ES,275.00,0,4.68
2023-11-28,ES,375.00,0,4.68
2023-11-29,ES,237.50,0,4.68
2023-11-30,ES,0,175.00,4.68
2023-12-01,ES,375.00,0,4.68
2023-12-01,ES,275.00,0,4.68
2023-12-01,ES,237.50,0,4.68
2023-12-08,ES,0,225.00,4.68
2023-12-11,ES,275.00,0,4.68
2023-12-12,ES,237.50,0,4.68
2023-12-14,ES,375.00,0,4.68
2023-12-14,ES,650.00,0,4.68
2023-12-15,ES,275.00,0,4.68
2023-12-18,ES,0,175.00,4.68
2023-12-19,ES,375.00,0,4.68
2023-12-20,ES,275.00,0,4.68
2023-12-21,ES,0,175.00,4.68
2023-12-22,ES,187.50,0,4.68
2023-12-28,ES,375.00,0,4.68
2023-12-29,ES,0,175.00,4.68
2024-01-02,ES,0,187.50,4.68
2024-01-03,ES,500.00,0,4.68
2024-01-04,ES,312.50,0,4.68
2024-01-05,ES,375.00,0,4.68
2024-01-08,ES,0,187.50,4.68
2024-01-08,ES,0,312.50,4.68
2024-01-09,ES,0,125.00,4.68
2024-01-11,ES,375.00,0,4.68
2024-01-16,ES,500.00,0,4.68
2024-01-17,ES,0,187.50,4.68
2024-01-17,ES,0,250.00,4.68
2024-01-18,ES,0,312.50,4.68
2024-01-18,ES,0,312.50,4.68
2024-01-19,ES,0,187.50,4.68
2024-01-22,ES,0,187.50,4.68
2024-01-25,ES,0,125.00,4.68
2024-01-26,ES,375.00,0,4.68
2024-02-01,ES,0,250.00,4.68
2024-02-01,ES,875.00,0,4.68
2024-02-02,ES,375.00,0,4.68
2024-02-02,ES,500.00,0,4.68
2024-02-05,ES,625.00,0,4.68
2024-02-08,ES,500.00,0,4.68
2024-02-08,ES,312.50,0,4.68
2024-02-26,ES,0,187.50,4.68
2024-02-27,ES,500.00,0,4.68
2024-02-29,ES,875.00,0,4.68
2024-03-01,ES,0,187.50,4.68
2024-03-01,ES,0,187.50,4.68
2024-03-01,ES,875.00,0,4.68
2024-03-01,ES,375.00,0,4.68
2024-03-04,ES,500.00,0,4.68
2024-03-05,ES,312.50,0,4.68
2024-03-06,ES,875.00,0,4.68
2024-03-07,ES,250.00,0,4.68
2024-03-11,ES,625.00,0,4.68
2024-03-13,ES,875.00,0,4.68
2024-03-18,ES,0,187.50,4.68
2024-03-19,ES,0,125.00,4.68
2024-03-20,ES,375.00,0,4.68
2024-03-20,ES,875.00,0,4.68
2024-03-21,ES,750.00,0,4.68
2024-03-22,ES,312.50,0,4.68
2024-04-02,ES,250.00,0,4.68
2024-04-03,ES,0,250.00,4.68
2024-04-05,ES,125.00,0,4.68
2024-04-08,ES,0,375.00,4.68
2024-04-11,ES,250.00,0,4.68
